from,SyntaxError,NameError,TypeError,AssertionError,PASS
SyntaxError,22,14,0,12,17
NameError,10,312,0,1,3
TypeError,0,1,0,0,0
AssertionError,21,13,0,116,4
PASS,0,0,0,0,0
