from,PASS,AssertionError,SyntaxError,NameError,TypeError,PLAN_DONE
AssertionError,4,116,21,13,0,0
SyntaxError,17,12,22,14,0,0
NameError,3,1,10,312,0,0
TypeError,0,0,0,1,0,0
